Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Afghanistan,AFG,..,..,2.00252214522922,-0.964803329240652,-1.66641641520391,-0.345802496981889,-0.253593781811986,-1.68857659267114,0.932833388709597,-5.3646659309623,-22.9291944307147,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Albania,ALB,-11.187905298961,7.63002243937019,1.18723435286199,1.98538809180384,2.51682705417127,3.48029321671386,3.89811226746693,4.27631155105293,2.52354084280566,-2.74523867757104,9.92271370805365,6.2052753940383
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Algeria,DZA,-1.68292794980542,2.35458026894383,0.797967812424986,1.76594123137923,1.6466572591571,1.16314757745835,-0.663171193402832,-0.707950481173555,-0.840856657898996,-6.72994165075228,1.70006376741448,1.43477676478558
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,American Samoa,ASM,..,..,-1.21950183979621,3.27902164193507,4.85444230115995,0.113644342114497,-5.13533988577697,4.87406112450759,1.83171396600592,7.64030127989335,0.648377683091113,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Andorra,AND,0.0423206245897916,2.8360535398907,-4.02602703426984,2.14093898224779,1.25741601269149,2.57450458774666,-1.41657902035861,-0.00387029555736262,0.238296569502523,-12.7350775611172,6.45944053180018,7.73271565222045
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Angola,AGO,-6.62640931330293,-0.234945632722756,1.10633103462652,1.03072911796671,-2.64297533030704,-6.01189077751143,-3.63069503801748,-4.67666958432599,-4.01711416103254,-8.67243212911843,-1.95459800636894,-0.096754729759283
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Antigua and Barbuda,ATG,3.51271910693902,4.45731128602871,-1.52526342370192,2.93615252322574,3.01146145768065,4.77073712765603,2.51639084580945,6.23266748232506,3.7878874261186,-17.9891735594216,5.92050157978692,7.82947070619764
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Argentina,ARG,-3.87738988305726,-1.90698749835167,1.26568517537076,-3.57858050983289,1.62966427946263,-3.11006389821465,1.75764818265694,-3.60160975657155,-2.96956249866219,-10.8126108522948,9.35717585932072,4.27316373772393
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Armenia,ARM,..,7.15357818453764,3.76412964842652,4.01064593319273,3.60636907832207,0.646135942752821,8.02439704883481,5.76988214903176,8.20864949959488,-6.70404931756727,6.25422006660932,13.0254185175235
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Aruba,ABW,2.19580450971051,4.91835385108675,5.63531750282364,-0.709567170830184,2.88516618544072,1.51593791406077,4.91713876742246,4.73833038397655,0.181216309197723,-18.6983243537002,17.2253004018797,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Australia,AUS,2.05479381137212,2.71882936967131,0.828325557835214,1.06033708469104,0.693065822727618,1.13842433965326,0.604963407727865,1.34828275238704,0.665151144847243,-1.27835805936483,2.10571122890686,2.45750262798656
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Austria,AUT,3.55354764697123,3.12743665014771,-0.562298942527448,-0.122370667337563,-0.111540189504495,0.892469139632297,1.55072408627153,1.92771305987296,1.06696970619677,-6.8415447032182,4.10231717627012,3.98986896327673
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Azerbaijan,AZE,..,10.1910292674816,4.45002009882025,1.47593694077869,-0.103121364891479,-4.17717168005237,-0.778416126232784,0.624486167739661,1.63585048130741,-4.95270173869491,5.15150006870661,4.23336490798903
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Bahamas, The",BHS,-3.481588741184,2.62968206387389,-3.76728367121706,0.936220395362369,0.0796698475646167,-0.894538414381856,1.63401813906393,0.804149057055753,-1.39438749399304,-23.8683627668591,16.5731170485091,13.7892820433437
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bahrain,BHR,0.992712756857642,2.44215746058789,2.34759588274413,0.413894139030546,-1.35238152136513,0.0672330100929202,0.913957633052064,0.0167861091434816,1.69872414350014,-3.56559860535015,3.66632965640363,4.22210599747656
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bangladesh,BGD,3.40036959603947,3.30590093463195,4.6787219183048,4.74777922657421,5.29106080830215,5.80321039762626,5.26645511283064,6.08023776882422,6.68765439756285,2.27110927857356,5.71664908722495,5.95484484128914
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Barbados,BRB,-3.34830700078626,4.25499451277366,-1.68518744158888,-0.31337748200211,2.25520692122292,2.32475680274587,0.262708847941795,-1.20442737607596,-0.306518356186047,-13.469455993221,-0.369230329510742,9.82909612197116
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belarus,BLR,..,6.29963644799003,1.04224341321498,1.66910513119089,-3.95734364341466,-2.61129931788116,2.64424708758548,3.37043437009008,1.65111819575279,-0.251386576093068,3.29082150587152,-3.72582682206358
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belgium,BEL,2.83026797508926,3.46545257130404,-0.0131483860964465,1.12859572471172,1.45189336758756,0.755268919102846,1.22886623616918,1.33065222724522,1.71037492726818,-5.76959243803681,5.78766073720394,2.57104071946614
